frame,X,Y,Z,raw_world_x,raw_world_y,accepted
72,27.398546,13.116862,3.7821853,-30.376510850123218,-1.3643625549546005e-15,1
76,26.211939,12.446185,3.683667,-29.016627975304864,0.09253908435463687,1
78,26.016912,12.211791,3.7192485,-28.73950745286819,0.2197400809378381,1
88,24.48627,10.475487,3.482016,-26.609170037956133,1.124880199694467,1
96,24.04051,9.151261,3.5546644,-25.635296554437552,2.126801375184476,1
101,22.247414,7.846593,3.3906057,-23.45461836820877,2.529290581828898,1
102,22.559109,7.810964,3.4699056,-23.720371555156383,2.6960193716904644,1
104,22.785168,7.6364126,3.5594134,-23.84889583049609,2.951073063351869,1
105,22.897148,7.5423946,3.6293838,-23.909300407305395,3.0842281859621936,1
108,22.39218,6.976297,3.5829535,-23.209390109217722,3.376778271152428,1
110,22.014275,6.6069403,3.5589738,-22.709041507384924,3.54674210786894,1
111,22.300722,6.595744,3.6388423,-22.962572520583407,3.6805313578523444,1
115,21.577469,5.913177,3.6245928,-22.015484599273513,3.9838753966562783,1
118,21.54804,5.5923605,3.6854715,-21.85040956070238,4.260533135925272,1
119,21.237028,5.4173455,3.6708336,-21.494314308312145,4.2840924817883055,1
120,22.099909,5.531927,3.8187451,-22.322079811784658,4.5533438977761875,1
121,22.264105,5.449964,3.844905,-22.434786432536704,4.698173081176054,1
127,21.017757,4.567571,3.7594578,-20.92959929102226,4.955875970617934,1
128,21.127031,4.4752984,3.7782326,-20.98831627895955,5.086288258408114,1
130,20.829397,4.2053843,3.7637951,-20.603309287148004,5.2012201381201075,1
131,20.666443,4.0783005,3.7637033,-20.4014542352062,5.2454800358133,1
132,20.734982,3.990656,3.7918313,-20.425427954820485,5.354128005678005,1
133,20.396723,3.8449998,3.7613251,-20.05743477121857,5.339441403648442,1
135,20.19753,3.6050277,3.7755427,-19.774148328817727,5.4698748309407526,1
136,19.9982,3.4732733,3.7653468,-19.537465724902145,5.50263955429746,1
137,20.089403,3.3946354,3.7879667,-19.585771694414028,5.612950731991077,1
139,19.85512,3.1363754,3.7706206,-19.262937155695596,5.744726404641411,1
140,19.848497,3.0717382,3.768714,-19.229053118211095,5.80016729772954,1
142,19.343899,2.7971704,3.701632,-18.65536191279043,5.8299274352655175,1
143,18.77343,2.6536973,3.5907297,-18.078865941591957,5.713001354735725,1
144,19.06992,2.5933208,3.6822112,-18.32021815653329,5.895485792846288,1
145,18.900034,2.5427234,3.6476805,-18.145138833848616,5.867764686723586,1
146,18.76149,2.4049482,3.633836,-17.960684319668392,5.932208429695041,1
147,18.944937,2.3652866,3.701102,-18.10902069736707,6.047195926894343,1
148,18.565243,2.2628467,3.6702235,-17.722315553410226,5.975637678160776,1
149,18.365925,2.1666896,3.6161554,-17.501016250568483,5.976300630090805,1
150,18.661999,2.129511,3.7291837,-17.75201049289652,6.137681839338156,1
151,18.542755,2.072303,3.725762,-17.61975395543526,6.137790987557995,1
152,18.324545,1.9750656,3.699625,-17.380947947795956,6.131270549507697,1
153,18.394974,1.9543089,3.7253468,-17.435509349035975,6.1804042207543315,1
154,17.951067,1.8511876,3.635214,-16.990592279889913,6.081732882251651,1
155,18.2527,1.8224416,3.695634,-17.250242611817335,6.237909091949888,1
156,18.297598,1.8154334,3.7051864,-17.287711996788662,6.263617217721527,1
157,17.891039,1.7333314,3.6655755,-16.885557674080527,6.162114300522621,1
158,17.520773,1.6559608,3.6282723,-16.518181408566182,6.072015589774795,1
159,17.347176,1.5972347,3.5925698,-16.33624423810457,6.0500234871976915,1
160,17.631065,1.5834683,3.6869981,-16.586358379198206,6.185026569430188,1
161,17.547617,1.5347116,3.663351,-16.490037234941443,6.19296961156826,1
162,17.396992,1.4806299,3.6602173,-16.33082559120292,6.176707999984008,1
163,17.40214,1.439313,3.6745946,-16.317627836240685,6.216197289371818,1
164,16.842966,1.3683772,3.5675807,-15.782642133601557,6.03872253297891,1
165,16.695232,1.3293931,3.5772471,-15.632557850994834,6.010091994287757,1
167,16.66574,1.2224518,3.6116676,-15.559777626502038,6.093813832862412,1
168,16.416945,1.1785061,3.5586414,-15.316397520325205,6.026019461647549,1
169,16.573784,1.1634399,3.6149924,-15.451355370843524,6.107333415964579,1
170,16.747137,1.1484065,3.6473947,-15.601222318490807,6.195748518337833,1
171,16.572817,1.1117158,3.6417055,-15.428148206292544,6.153569145854052,1
172,16.433254,1.0500813,3.6233597,-15.275653262510252,6.148896894721854,1
173,16.40697,1.0227969,3.6544383,-15.240163307900431,6.162156267292058,1
174,16.417482,1.0240864,3.6613946,-15.250202753001942,6.165532939391406,1
